TimeStamp,TimeStamp_ms,msgCnt,lat,long,elev,DroppedPacketCount
2019/10/21-14:30:08.336,1.57167E+12,112,42.2448712,-83.5566043,190,0
2019/10/21-14:30:08.435,1.57167E+12,113,42.2448712,-83.5566043,190,0
2019/10/21-14:30:08.533,1.57167E+12,114,42.2448712,-83.5566043,190,0
2019/10/21-14:30:08.642,1.57167E+12,115,42.2448712,-83.5566043,190,0
2019/10/21-14:30:08.732,1.57167E+12,116,42.2448712,-83.5566043,190,0
2019/10/21-14:30:08.847,1.57167E+12,117,42.2448712,-83.5566043,190,0
2019/10/21-14:30:08.933,1.57167E+12,118,42.2448712,-83.5566043,190,0
2019/10/21-14:30:09.038,1.57167E+12,119,42.2448712,-83.5566043,190,0
2019/10/21-14:30:09.149,1.57167E+12,120,42.2448712,-83.5566043,190,0
2019/10/21-14:30:09.251,1.57167E+12,121,42.2448712,-83.5566043,190,0
2019/10/21-14:30:09.338,1.57167E+12,122,42.2448712,-83.5566043,190,0
2019/10/21-14:30:09.436,1.57167E+12,123,42.2448712,-83.5566043,190,0
2019/10/21-14:30:09.541,1.57167E+12,124,42.2448712,-83.5566043,190,0
2019/10/21-14:30:09.636,1.57167E+12,125,42.2448712,-83.5566043,190,0
2019/10/21-14:30:09.743,1.57167E+12,126,42.2448712,-83.5566043,190,0
2019/10/21-14:30:09.843,1.57167E+12,127,42.2448712,-83.5566043,190,0
2019/10/21-14:30:09.948,1.57167E+12,0,42.2448712,-83.5566043,190,0
2019/10/21-14:30:10.052,1.57167E+12,1,42.2448712,-83.5566043,190,0
2019/10/21-14:30:10.162,1.57167E+12,2,42.2448712,-83.5566043,190,0
2019/10/21-14:30:10.249,1.57167E+12,3,42.2448712,-83.5566043,190,0
2019/10/21-14:30:10.350,1.57167E+12,4,42.2448712,-83.5566043,190,0
2019/10/21-14:30:10.452,1.57167E+12,5,42.2448712,-83.5566043,190,1
2019/10/21-14:30:10.665,1.57167E+12,7,42.2448712,-83.5566043,190,0
2019/10/21-14:30:10.761,1.57167E+12,8,42.2448712,-83.5566043,190,0
2019/10/21-14:30:10.861,1.57167E+12,9,42.2448712,-83.5566043,190,0
2019/10/21-14:30:10.955,1.57167E+12,10,42.2448712,-83.5566043,190,0
2019/10/21-14:30:11.048,1.57167E+12,11,42.2448712,-83.5566043,190,0
2019/10/21-14:30:11.152,1.57167E+12,12,42.2448712,-83.5566042,190,0
2019/10/21-14:30:11.241,1.57167E+12,13,42.2448712,-83.5566042,190,0
2019/10/21-14:30:11.343,1.57167E+12,14,42.2448712,-83.5566042,190,0
2019/10/21-14:30:11.439,1.57167E+12,15,42.2448712,-83.5566042,190,0
2019/10/21-14:30:11.543,1.57167E+12,16,42.2448712,-83.5566042,190,0
2019/10/21-14:30:11.653,1.57167E+12,17,42.2448712,-83.5566042,190,0
2019/10/21-14:30:11.747,1.57167E+12,18,42.2448712,-83.5566042,190,0
2019/10/21-14:30:11.861,1.57167E+12,19,42.2448712,-83.5566042,190,0
2019/10/21-14:30:11.944,1.57167E+12,20,42.2448712,-83.5566042,190,0
2019/10/21-14:30:12.054,1.57167E+12,21,42.2448712,-83.5566042,190,0
2019/10/21-14:30:12.147,1.57167E+12,22,42.2448712,-83.5566042,190,0
2019/10/21-14:30:12.253,1.57167E+12,23,42.2448712,-83.5566042,190,0
2019/10/21-14:30:12.342,1.57167E+12,24,42.2448712,-83.5566042,190,0
2019/10/21-14:30:12.443,1.57167E+12,25,42.2448712,-83.5566042,190,0
2019/10/21-14:30:12.545,1.57167E+12,26,42.2448712,-83.5566042,190,0
2019/10/21-14:30:12.642,1.57167E+12,27,42.2448712,-83.5566042,190,0
2019/10/21-14:30:12.754,1.57167E+12,28,42.2448712,-83.5566042,190,0
2019/10/21-14:30:12.847,1.57167E+12,29,42.2448712,-83.5566042,190,0
2019/10/21-14:30:12.962,1.57167E+12,30,42.2448712,-83.5566042,190,0
2019/10/21-14:30:13.051,1.57167E+12,31,42.2448712,-83.5566042,190,0
2019/10/21-14:30:13.154,1.57167E+12,32,42.2448712,-83.5566042,190,0
2019/10/21-14:30:13.245,1.57167E+12,33,42.2448712,-83.5566042,190,0
2019/10/21-14:30:13.352,1.57167E+12,34,42.2448712,-83.5566042,190,0
2019/10/21-14:30:13.462,1.57167E+12,35,42.2448712,-83.5566042,190,0
2019/10/21-14:30:13.549,1.57167E+12,36,42.2448712,-83.5566042,190,0
2019/10/21-14:30:13.661,1.57167E+12,37,42.2448712,-83.5566042,190,0
2019/10/21-14:30:13.754,1.57167E+12,38,42.2448712,-83.5566042,190,0
2019/10/21-14:30:13.851,1.57167E+12,39,42.2448712,-83.5566042,190,0
2019/10/21-14:30:13.946,1.57167E+12,40,42.2448712,-83.5566042,190,0
2019/10/21-14:30:14.061,1.57167E+12,41,42.2448711,-83.5566042,190,0
2019/10/21-14:30:14.150,1.57167E+12,42,42.2448711,-83.5566042,190,0
2019/10/21-14:30:14.254,1.57167E+12,43,42.2448711,-83.5566042,190,0
2019/10/21-14:30:14.348,1.57167E+12,44,42.2448711,-83.5566042,190,0
2019/10/21-14:30:14.452,1.57167E+12,45,42.2448711,-83.5566042,190,0
2019/10/21-14:30:14.561,1.57167E+12,46,42.2448711,-83.5566042,190,0
2019/10/21-14:30:14.648,1.57167E+12,47,42.2448711,-83.5566042,190,0
2019/10/21-14:30:14.762,1.57167E+12,48,42.2448711,-83.5566042,190,0
2019/10/21-14:30:14.853,1.57167E+12,49,42.2448711,-83.5566042,190,0
2019/10/21-14:30:14.951,1.57167E+12,50,42.2448711,-83.5566042,190,0
2019/10/21-14:30:15.067,1.57167E+12,51,42.2448711,-83.5566042,190,0
2019/10/21-14:30:15.156,1.57167E+12,52,42.2448711,-83.5566042,190,0
2019/10/21-14:30:15.250,1.57167E+12,53,42.2448711,-83.5566042,190,0
2019/10/21-14:30:15.350,1.57167E+12,54,42.2448711,-83.5566042,190,0
2019/10/21-14:30:15.454,1.57167E+12,55,42.2448711,-83.5566042,190,0
2019/10/21-14:30:15.552,1.57167E+12,56,42.2448711,-83.5566042,190,0
2019/10/21-14:30:15.661,1.57167E+12,57,42.2448711,-83.5566042,190,0
2019/10/21-14:30:15.763,1.57167E+12,58,42.2448711,-83.5566042,190,0
2019/10/21-14:30:15.856,1.57167E+12,59,42.2448711,-83.5566042,190,0
2019/10/21-14:30:15.965,1.57167E+12,60,42.2448711,-83.5566042,190,0
2019/10/21-14:30:16.053,1.57167E+12,61,42.2448711,-83.5566042,190,0
2019/10/21-14:30:16.151,1.57167E+12,62,42.2448711,-83.5566042,190,0
2019/10/21-14:30:16.257,1.57167E+12,63,42.2448711,-83.5566042,190,0
